stage,user_raw_input,extracted_value
EQUIPMENT,I have access to home gym,home gym
GOAL,Mainly to burn fat,burn fat
ALLERGIES,I have a peanut allergy,peanut
LEVEL,I am a beginner,beginner
GREETING,Absolutely,yes
DAYS,I have 6 days free,6
GOAL,Looking to burn fat,burn fat
DAYS,6,6
WEIGHT,About 147,147
LEVEL,novice,novice
EQUIPMENT,I only have dumbbells,dumbbells
EQUIPMENT,Just bodyweight,bodyweight
WEIGHT,I am 225 lbs,225
HEIGHT,186 cm,186
ALLERGIES,None,none
DAYS,About 2 days,2
LEVEL,I am a beginner,beginner
GOAL,tone up,tone up
DAYS,5,5
HEIGHT,About 175 cm,175
WEIGHT,218 pounds,218
GREETING,Yes,yes
EQUIPMENT,dumbbells,dumbbells
AGE,I just turned 17,17
EQUIPMENT,I workout at a dumbbells,dumbbells
CONSENT,Sure,yes
AGE,I just turned 65,65
DAYS,About 4 days,4
CONFIRMATION,No,no
LEVEL,Pretty much a advanced,advanced
INJURIES,I have a bad knee,bad knee
CONFIRMATION,I need to change something,no
CONFIRMATION,Yes,yes
CONFIRMATION,Yes,yes
EQUIPMENT,dumbbells,dumbbells
AGE,24,24
CONFIRMATION,Incorrect,no
DAYS,4,4
INJURIES,Dealing with bad knee,bad knee
INJURIES,My bad knee hurts sometimes,bad knee
CONSENT,Yeah that's fine,yes
INJURIES,Dealing with bad knee,bad knee
DAYS,I have 2 days free,2
DAYS,2,2
AGE,I am 47 years old,47
LEVEL,novice,novice
ALLERGIES,peanut,peanut
GOAL,I want to get shredded,get shredded
HEIGHT,168,168
CONSENT,I don't consent,no
LEVEL,I'd say pro,pro
LEVEL,I'd say beginner,beginner
AGE,28,28
AGE,I am 52 years old,52
AGE,I just turned 24,24
GOAL,endurance,endurance
WEIGHT,131 pounds,131
CONSENT,Nah,no
INJURIES,My twisted ankle hurts sometimes,twisted ankle
WEIGHT,215,215
WEIGHT,208,208
WEIGHT,Around 275,275
WEIGHT,205 pounds,205
DAYS,6 days,6
WEIGHT,194 pounds,194
CONSENT,Go ahead,yes
INJURIES,Nope,none
WEIGHT,Around 177,177
DAYS,I can do 4 days a week,4
LEVEL,I'd say beginner,beginner
DAYS,I have 3 days free,3
AGE,I'm 53,53
GOAL,My goal is to endurance,endurance
DAYS,4 days,4
AGE,I just turned 60,60
GOAL,I want to burn fat,burn fat
ALLERGIES,I am lactose intolerant,lactose intolerant
EQUIPMENT,home gym,home gym
DAYS,About 3 days,3
AGE,I am 46,46
EQUIPMENT,home gym,home gym
DAYS,4 days,4
CONFIRMATION,Looks good,yes
AGE,I'm 35,35
INJURIES,My bad knee hurts sometimes,bad knee
HEIGHT,169 cm,169
GREETING,Absolutely,yes
DAYS,4,4
INJURIES,Nope,none
DAYS,I have 5 days free,5
WEIGHT,Around 212,212
CONSENT,Nope,no
AGE,I am 20,20
HEIGHT,I am 174 centimeters,174
EQUIPMENT,I have access to full gym,full gym
GREETING,Not ready,no
DAYS,I have 3 days free,3
EQUIPMENT,Just full gym,full gym
INJURIES,lower back pain,lower back pain
WEIGHT,Around 168,168
DAYS,5,5
AGE,I'm 47,47
HEIGHT,168,168
EQUIPMENT,I workout at a bodyweight,bodyweight
DAYS,4 days,4
AGE,62,62
WEIGHT,Around 214,214
LEVEL,I am a beginner,beginner
LEVEL,I am a intermediate,intermediate
GOAL,Mainly to lose weight,lose weight
WEIGHT,150,150
EQUIPMENT,I workout at a dumbbells,dumbbells
INJURIES,Dealing with tennis elbow,tennis elbow
DAYS,About 6 days,6
GOAL,Looking to tone up,tone up
HEIGHT,158,158
EQUIPMENT,full gym,full gym
CONFIRMATION,I need to change something,no
WEIGHT,138,138
GOAL,Mainly to endurance,endurance
CONSENT,I consent,yes
EQUIPMENT,I have access to kettlebells,kettlebells
HEIGHT,180,180
CONFIRMATION,Looks correct,yes
DAYS,I have 4 days free,4
LEVEL,I'd say beginner,beginner
CONSENT,Sure,yes
DAYS,4,4
DAYS,I have 3 days free,3
DAYS,I can do 3 days a week,3
CONFIRMATION,Looks good,yes
HEIGHT,I am 153 centimeters,153
DAYS,I have 5 days free,5
CONFIRMATION,Wait,no
EQUIPMENT,I workout at a dumbbells,dumbbells
CONFIRMATION,That's right,yes
EQUIPMENT,I only have kettlebells,kettlebells
GOAL,build muscle,build muscle
CONFIRMATION,That is wrong,no
CONFIRMATION,Wait,no
GOAL,I want to burn fat,burn fat
AGE,I just turned 40,40
CONSENT,No,no
CONSENT,Yes,yes
CONSENT,I would rather not,no
LEVEL,Just a advanced,advanced
AGE,26,26
GREETING,Nah,no
CONSENT,Yeah that's fine,yes
CONSENT,Yes you do,yes
WEIGHT,139,139
DAYS,3 days,3
GREETING,No,no
GOAL,My goal is to lose weight,lose weight
HEIGHT,176 cm,176
HEIGHT,173 cm,173
GREETING,Ready,yes
GOAL,I want to lose weight,lose weight
CONFIRMATION,Wait,no
EQUIPMENT,kettlebells,kettlebells
LEVEL,pro,pro
CONFIRMATION,No,no
HEIGHT,I am 176 centimeters,176
GOAL,Looking to build muscle,build muscle
CONFIRMATION,Generate it,yes
CONSENT,Yeah that's fine,yes
EQUIPMENT,I only have bodyweight,bodyweight
DAYS,I have 5 days free,5
AGE,I am 39,39
CONFIRMATION,Incorrect,no
LEVEL,I am a novice,novice
DAYS,3 days,3
CONFIRMATION,Generate it,yes
CONFIRMATION,I need to change something,no
DAYS,About 2 days,2
DAYS,About 3 days,3
GREETING,I'm ready,yes
INJURIES,Dealing with twisted ankle,twisted ankle
DAYS,About 3 days,3
EQUIPMENT,I only have home gym,home gym
WEIGHT,111 pounds,111
ALLERGIES,I eat everything,none
HEIGHT,About 177 cm,177
EQUIPMENT,I workout at a home gym,home gym
AGE,I just turned 19,19
AGE,I am 22 years old,22
WEIGHT,288,288
INJURIES,Dealing with twisted ankle,twisted ankle
EQUIPMENT,I have access to resistance bands,resistance bands
LEVEL,I am a intermediate,intermediate
EQUIPMENT,Just dumbbells,dumbbells
GOAL,Mainly to lose weight,lose weight
CONSENT,Yeah that's fine,yes
LEVEL,I'd say intermediate,intermediate
EQUIPMENT,I have access to full gym,full gym
HEIGHT,About 175 cm,175
DAYS,I have 6 days free,6
CONFIRMATION,Generate it,yes
GOAL,Mainly to lose weight,lose weight
GOAL,Looking to build muscle,build muscle
LEVEL,Pretty much a novice,novice
GOAL,Mainly to get shredded,get shredded
AGE,I just turned 20,20
AGE,I am 51 years old,51
DAYS,I can do 5 days a week,5
ALLERGIES,No allergies,none
HEIGHT,About 194 cm,194
CONSENT,Nah,no
ALLERGIES,Nope,none
DAYS,I have 3 days free,3
INJURIES,tennis elbow,tennis elbow
GREETING,Not ready,no
WEIGHT,About 102,102
LEVEL,I am a advanced,advanced
EQUIPMENT,Just bodyweight,bodyweight
LEVEL,intermediate,intermediate
CONFIRMATION,Perfect,yes
AGE,29,29
HEIGHT,About 176 cm,176
GOAL,tone up,tone up
GREETING,Not ready,no
CONFIRMATION,Yes,yes
INJURIES,Dealing with shoulder impingement,shoulder impingement
INJURIES,I have a bad knee,bad knee
LEVEL,Just a pro,pro
INJURIES,I have a lower back pain,lower back pain
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
EQUIPMENT,Just home gym,home gym
GREETING,I'm ready,yes
WEIGHT,I weigh 104 lbs,104
EQUIPMENT,home gym,home gym
EQUIPMENT,dumbbells,dumbbells
WEIGHT,130,130
GOAL,Mainly to burn fat,burn fat
HEIGHT,About 183 cm,183
INJURIES,No,none
CONSENT,Nope,no
HEIGHT,186,186
AGE,I just turned 38,38
INJURIES,My lower back pain hurts sometimes,lower back pain
CONFIRMATION,Go ahead,yes
CONFIRMATION,Perfect,yes
GREETING,Yes I am,yes
EQUIPMENT,I workout at a bodyweight,bodyweight
CONSENT,Nah,no
AGE,I just turned 39,39
LEVEL,Pretty much a novice,novice
INJURIES,Dealing with tennis elbow,tennis elbow
HEIGHT,About 171 cm,171
GREETING,Yes I am,yes
ALLERGIES,gluten,gluten
LEVEL,I am a beginner,beginner
LEVEL,I'd say advanced,advanced
INJURIES,I have a bad knee,bad knee
CONSENT,I don't consent,no
WEIGHT,Around 214,214
ALLERGIES,I have a vegan allergy,vegan
GOAL,My goal is to burn fat,burn fat
ALLERGIES,I am gluten,gluten
GOAL,I want to build muscle,build muscle
CONSENT,Go ahead,yes
CONSENT,Yes,yes
HEIGHT,190 cm,190
CONSENT,I don't consent,no
CONFIRMATION,I need to change something,no
EQUIPMENT,I only have home gym,home gym
EQUIPMENT,I only have kettlebells,kettlebells
ALLERGIES,Nope,none
CONSENT,I would rather not,no
EQUIPMENT,I only have bodyweight,bodyweight
CONSENT,Yes you do,yes
WEIGHT,255,255
INJURIES,My lower back pain hurts sometimes,lower back pain
EQUIPMENT,home gym,home gym
AGE,34,34
WEIGHT,101,101
EQUIPMENT,Just bodyweight,bodyweight
INJURIES,My twisted ankle hurts sometimes,twisted ankle
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,194,194
DAYS,3 days,3
CONSENT,I don't consent,no
GOAL,My goal is to build muscle,build muscle
GREETING,Ready,yes
LEVEL,intermediate,intermediate
CONSENT,Go ahead,yes
HEIGHT,About 158 cm,158
CONSENT,Yes,yes
AGE,I'm 56,56
CONFIRMATION,Looks correct,yes
HEIGHT,162,162
INJURIES,Dealing with twisted ankle,twisted ankle
INJURIES,Dealing with lower back pain,lower back pain
INJURIES,Dealing with tennis elbow,tennis elbow
EQUIPMENT,full gym,full gym
ALLERGIES,I am shellfish,shellfish
GREETING,Absolutely,yes
GREETING,Give me a minute,no
GOAL,Mainly to burn fat,burn fat
WEIGHT,About 229,229
CONSENT,Nah,no
AGE,I am 19 years old,19
GREETING,No,no
HEIGHT,151,151
LEVEL,Pretty much a intermediate,intermediate
GREETING,Yes,yes
ALLERGIES,I am peanut,peanut
GOAL,Looking to burn fat,burn fat
CONSENT,Yes you do,yes
AGE,I am 24,24
WEIGHT,I am 115 lbs,115
CONSENT,Yes you do,yes
GREETING,No,no
HEIGHT,186,186
GREETING,Let's do it,yes
CONFIRMATION,Incorrect,no
CONSENT,I consent,yes
GOAL,Looking to tone up,tone up
CONFIRMATION,That's right,yes
LEVEL,I'd say pro,pro
CONFIRMATION,No,no
GOAL,get shredded,get shredded
WEIGHT,I am 232 lbs,232
CONFIRMATION,That is wrong,no
LEVEL,Just a advanced,advanced
ALLERGIES,lactose intolerant,lactose intolerant
LEVEL,I am a novice,novice
CONFIRMATION,Incorrect,no
INJURIES,I have a twisted ankle,twisted ankle
WEIGHT,159,159
INJURIES,I have a tennis elbow,tennis elbow
INJURIES,My bad knee hurts sometimes,bad knee
HEIGHT,180,180
WEIGHT,About 233,233
GOAL,My goal is to burn fat,burn fat
AGE,I'm 56,56
LEVEL,Just a pro,pro
HEIGHT,156,156
ALLERGIES,No allergies,none
EQUIPMENT,I only have bodyweight,bodyweight
INJURIES,lower back pain,lower back pain
WEIGHT,I weigh 226 lbs,226
LEVEL,intermediate,intermediate
DAYS,I can do 6 days a week,6
INJURIES,I'm perfectly healthy,none
INJURIES,My lower back pain hurts sometimes,lower back pain
HEIGHT,About 164 cm,164
DAYS,3,3
GOAL,I want to tone up,tone up
WEIGHT,I weigh 120 lbs,120
ALLERGIES,I eat everything,none
DAYS,2 days,2
LEVEL,Pretty much a beginner,beginner
GREETING,Give me a minute,no
LEVEL,Just a pro,pro
WEIGHT,287,287
GREETING,Not yet,no
GOAL,Mainly to burn fat,burn fat
EQUIPMENT,I have access to dumbbells,dumbbells
CONFIRMATION,Yes,yes
ALLERGIES,I am vegan,vegan
INJURIES,lower back pain,lower back pain
ALLERGIES,I'm allergic to shellfishs,shellfish
GREETING,Nah,no
EQUIPMENT,Just kettlebells,kettlebells
ALLERGIES,lactose intolerant,lactose intolerant
DAYS,5,5
DAYS,4,4
CONSENT,Yes,yes
CONSENT,Yeah that's fine,yes
INJURIES,Dealing with lower back pain,lower back pain
LEVEL,Pretty much a advanced,advanced
DAYS,6,6
GOAL,Looking to tone up,tone up
CONSENT,Yes you do,yes
CONSENT,Okay,yes
LEVEL,I am a intermediate,intermediate
LEVEL,Pretty much a beginner,beginner
GOAL,Mainly to build muscle,build muscle
GOAL,get shredded,get shredded
CONFIRMATION,Incorrect,no
ALLERGIES,I eat everything,none
DAYS,I have 3 days free,3
INJURIES,Nope,none
WEIGHT,Around 149,149
CONSENT,Go ahead,yes
AGE,I'm 42,42
CONSENT,I would rather not,no
CONFIRMATION,No,no
GOAL,Looking to burn fat,burn fat
DAYS,3,3
WEIGHT,230,230
LEVEL,I am a advanced,advanced
CONFIRMATION,No,no
HEIGHT,I am 190 centimeters,190
AGE,I just turned 61,61
LEVEL,beginner,beginner
HEIGHT,I am 184 centimeters,184
CONFIRMATION,That's right,yes
DAYS,6 days,6
GOAL,endurance,endurance
WEIGHT,226 pounds,226
GOAL,My goal is to build muscle,build muscle
INJURIES,No injuries,none
DAYS,6,6
CONFIRMATION,That is wrong,no
LEVEL,I am a beginner,beginner
EQUIPMENT,Just resistance bands,resistance bands
ALLERGIES,I'm allergic to shellfishs,shellfish
AGE,I am 22 years old,22
HEIGHT,I am 184 centimeters,184
DAYS,About 3 days,3
EQUIPMENT,dumbbells,dumbbells
GREETING,Yes I am,yes
LEVEL,I'd say advanced,advanced
GREETING,Not ready,no
HEIGHT,About 162 cm,162
GOAL,Mainly to endurance,endurance
HEIGHT,I am 178 centimeters,178
DAYS,About 6 days,6
LEVEL,Pretty much a pro,pro
AGE,58,58
WEIGHT,I am 126 lbs,126
WEIGHT,I weigh 130 lbs,130
DAYS,2,2
CONFIRMATION,I need to change something,no
INJURIES,My twisted ankle hurts sometimes,twisted ankle
CONSENT,No,no
INJURIES,twisted ankle,twisted ankle
CONFIRMATION,Perfect,yes
AGE,I am 19 years old,19
CONSENT,I don't consent,no
GOAL,endurance,endurance
AGE,I am 42 years old,42
ALLERGIES,I am peanut,peanut
GREETING,Absolutely,yes
AGE,I just turned 28,28
GOAL,Looking to build muscle,build muscle
HEIGHT,About 165 cm,165
HEIGHT,I am 166 centimeters,166
LEVEL,intermediate,intermediate
LEVEL,Pretty much a intermediate,intermediate
DAYS,2,2
GREETING,Absolutely,yes
EQUIPMENT,I workout at a kettlebells,kettlebells
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,191 pounds,191
AGE,I am 47 years old,47
WEIGHT,I weigh 284 lbs,284
EQUIPMENT,Just resistance bands,resistance bands
ALLERGIES,Nope,none
INJURIES,I have a shoulder impingement,shoulder impingement
LEVEL,Just a beginner,beginner
CONFIRMATION,I need to change something,no
GOAL,I want to lose weight,lose weight
HEIGHT,About 175 cm,175
ALLERGIES,I'm allergic to peanuts,peanut
LEVEL,novice,novice
CONSENT,Nope,no
CONSENT,I would rather not,no
INJURIES,Dealing with shoulder impingement,shoulder impingement
GREETING,I'm ready,yes
GREETING,Let's do it,yes
ALLERGIES,I am vegan,vegan
HEIGHT,About 154 cm,154
DAYS,I can do 5 days a week,5
INJURIES,None,none
DAYS,4 days,4
CONFIRMATION,Incorrect,no
GREETING,Nah,no
EQUIPMENT,I have access to resistance bands,resistance bands
AGE,I am 37,37
EQUIPMENT,I have access to full gym,full gym
GOAL,tone up,tone up
ALLERGIES,I have a peanut allergy,peanut
WEIGHT,About 158,158
CONFIRMATION,Incorrect,no
AGE,52,52
LEVEL,I'd say advanced,advanced
CONSENT,Yes,yes
AGE,I just turned 65,65
DAYS,4 days,4
HEIGHT,187 cm,187
AGE,I'm 44,44
CONSENT,Yeah that's fine,yes
AGE,I am 34,34
LEVEL,I'd say beginner,beginner
LEVEL,I am a novice,novice
HEIGHT,About 173 cm,173
GOAL,build muscle,build muscle
AGE,23,23
CONSENT,I would rather not,no
CONFIRMATION,I need to change something,no
GREETING,Yeah let's go,yes
GREETING,Not yet,no
WEIGHT,139 pounds,139
DAYS,4 days,4
ALLERGIES,shellfish,shellfish
DAYS,About 2 days,2
DAYS,4,4
GREETING,Ready,yes
LEVEL,I'd say beginner,beginner
CONSENT,Yeah that's fine,yes
CONFIRMATION,Generate it,yes
EQUIPMENT,I workout at a bodyweight,bodyweight
CONSENT,I would rather not,no
GOAL,burn fat,burn fat
ALLERGIES,I am lactose intolerant,lactose intolerant
AGE,I am 41 years old,41
ALLERGIES,I have a peanut allergy,peanut
CONSENT,I consent,yes
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
GOAL,Looking to get shredded,get shredded
LEVEL,Just a intermediate,intermediate
CONFIRMATION,That is wrong,no
EQUIPMENT,Just full gym,full gym
GOAL,Looking to tone up,tone up
INJURIES,Dealing with shoulder impingement,shoulder impingement
GREETING,Nah,no
CONSENT,No,no
WEIGHT,Around 110,110
LEVEL,I'd say novice,novice
GREETING,Nah,no
GREETING,Ready,yes
ALLERGIES,Nah,none
CONFIRMATION,Looks good,yes
GREETING,Nah,no
GREETING,No,no
CONFIRMATION,No,no
WEIGHT,207,207
DAYS,6 days,6
LEVEL,I'd say novice,novice
GOAL,My goal is to lose weight,lose weight
CONSENT,Yeah that's fine,yes
WEIGHT,115 pounds,115
AGE,20,20
WEIGHT,About 133,133
LEVEL,Pretty much a novice,novice
INJURIES,bad knee,bad knee
CONSENT,No,no
DAYS,I can do 3 days a week,3
HEIGHT,178 cm,178
AGE,I am 50 years old,50
AGE,64,64
GOAL,Mainly to get shredded,get shredded
WEIGHT,I am 125 lbs,125
CONFIRMATION,Wait,no
LEVEL,pro,pro
GOAL,Looking to burn fat,burn fat
GOAL,I want to build muscle,build muscle
DAYS,I have 6 days free,6
AGE,I just turned 40,40
WEIGHT,193,193
WEIGHT,Around 258,258
DAYS,I can do 3 days a week,3
HEIGHT,191 cm,191
HEIGHT,I am 178 centimeters,178
CONSENT,Yes,yes
CONFIRMATION,Incorrect,no
CONSENT,Yes you do,yes
INJURIES,Dealing with twisted ankle,twisted ankle
CONFIRMATION,No,no
INJURIES,Dealing with bad knee,bad knee
ALLERGIES,Nah,none
CONSENT,Nah,no
AGE,I am 33 years old,33
GREETING,Not yet,no
CONSENT,Nah,no
CONSENT,Sure,yes
ALLERGIES,vegan,vegan
HEIGHT,167 cm,167
LEVEL,Pretty much a advanced,advanced
GREETING,No,no
GOAL,I want to burn fat,burn fat
WEIGHT,I am 225 lbs,225
DAYS,I can do 5 days a week,5
CONFIRMATION,Looks good,yes
GOAL,Looking to build muscle,build muscle
DAYS,About 5 days,5
ALLERGIES,vegan,vegan
HEIGHT,I am 177 centimeters,177
DAYS,I have 2 days free,2
EQUIPMENT,home gym,home gym
DAYS,I have 4 days free,4
CONFIRMATION,Perfect,yes
ALLERGIES,lactose intolerant,lactose intolerant
LEVEL,Just a advanced,advanced
CONFIRMATION,Perfect,yes
WEIGHT,194,194
ALLERGIES,I'm allergic to peanuts,peanut
AGE,I just turned 18,18
EQUIPMENT,I only have kettlebells,kettlebells
GOAL,I want to build muscle,build muscle
HEIGHT,About 186 cm,186
DAYS,I can do 2 days a week,2
GOAL,Looking to tone up,tone up
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,Just home gym,home gym
WEIGHT,I am 274 lbs,274
CONFIRMATION,That is wrong,no
AGE,I am 31,31
AGE,36,36
HEIGHT,186 cm,186
AGE,I am 31,31
WEIGHT,I am 152 lbs,152
GREETING,Give me a minute,no
DAYS,About 3 days,3
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,170,170
AGE,I just turned 56,56
DAYS,I have 2 days free,2
GREETING,Not yet,no
CONSENT,Yes you do,yes
HEIGHT,About 192 cm,192
CONSENT,Yeah that's fine,yes
INJURIES,My tennis elbow hurts sometimes,tennis elbow
CONFIRMATION,Go ahead,yes
EQUIPMENT,I workout at a resistance bands,resistance bands
LEVEL,novice,novice
GREETING,Absolutely,yes
DAYS,I have 4 days free,4
AGE,I am 18,18
CONSENT,No,no
LEVEL,Pretty much a novice,novice
GREETING,Ready,yes
EQUIPMENT,I have access to home gym,home gym
LEVEL,Pretty much a advanced,advanced
GOAL,Mainly to get shredded,get shredded
ALLERGIES,I'm allergic to peanuts,peanut
GOAL,Mainly to burn fat,burn fat
HEIGHT,187,187
HEIGHT,165,165
CONFIRMATION,That is wrong,no
DAYS,3,3
GREETING,Give me a minute,no
GREETING,Yes,yes
HEIGHT,169,169
DAYS,6 days,6
WEIGHT,Around 116,116
CONFIRMATION,No,no
EQUIPMENT,I only have resistance bands,resistance bands
WEIGHT,I weigh 234 lbs,234
CONSENT,Sure,yes
EQUIPMENT,I only have bodyweight,bodyweight
EQUIPMENT,I have access to home gym,home gym
HEIGHT,151,151
GOAL,I want to lose weight,lose weight
DAYS,4 days,4
ALLERGIES,shellfish,shellfish
GOAL,Mainly to burn fat,burn fat
HEIGHT,151 cm,151
WEIGHT,Around 246,246
WEIGHT,I am 239 lbs,239
GREETING,Give me a minute,no
GREETING,Let's do it,yes
CONFIRMATION,I need to change something,no
AGE,I am 29 years old,29
GREETING,Nah,no
DAYS,I have 5 days free,5
DAYS,2,2
LEVEL,Just a beginner,beginner
ALLERGIES,I am lactose intolerant,lactose intolerant
LEVEL,Just a pro,pro
WEIGHT,293 pounds,293
GOAL,Mainly to lose weight,lose weight
DAYS,I have 6 days free,6
WEIGHT,113,113
LEVEL,I am a pro,pro
CONFIRMATION,Yes,yes
GOAL,My goal is to get shredded,get shredded
DAYS,About 3 days,3
INJURIES,I have a twisted ankle,twisted ankle
GREETING,Not yet,no
CONFIRMATION,No,no
CONSENT,No,no
LEVEL,I am a beginner,beginner
GOAL,Looking to build muscle,build muscle
CONSENT,I don't consent,no
LEVEL,I'd say beginner,beginner
EQUIPMENT,dumbbells,dumbbells
DAYS,I can do 5 days a week,5
EQUIPMENT,kettlebells,kettlebells
GOAL,My goal is to build muscle,build muscle
AGE,I'm 54,54
HEIGHT,190 cm,190
CONFIRMATION,Looks correct,yes
AGE,I am 41 years old,41
DAYS,3 days,3
EQUIPMENT,Just resistance bands,resistance bands
DAYS,3,3
EQUIPMENT,I only have kettlebells,kettlebells
LEVEL,Pretty much a advanced,advanced
DAYS,4,4
CONSENT,I would rather not,no
ALLERGIES,No allergies,none
HEIGHT,I am 175 centimeters,175
WEIGHT,Around 295,295
GREETING,Give me a minute,no
HEIGHT,I am 195 centimeters,195
DAYS,4 days,4
DAYS,About 5 days,5
CONSENT,Yes you do,yes
GOAL,Looking to build muscle,build muscle
AGE,I'm 32,32
INJURIES,Nope,none
CONFIRMATION,Generate it,yes
LEVEL,advanced,advanced
CONFIRMATION,Generate it,yes
DAYS,I have 2 days free,2
INJURIES,bad knee,bad knee
GREETING,Yeah let's go,yes
DAYS,I have 2 days free,2
GOAL,Mainly to get shredded,get shredded
EQUIPMENT,I only have kettlebells,kettlebells
AGE,I am 49 years old,49
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,I want to build muscle,build muscle
ALLERGIES,I have a peanut allergy,peanut
DAYS,About 2 days,2
CONSENT,I consent,yes
GREETING,Nah,no
GOAL,burn fat,burn fat
GOAL,My goal is to get shredded,get shredded
EQUIPMENT,I only have dumbbells,dumbbells
HEIGHT,191 cm,191
CONFIRMATION,Incorrect,no
AGE,49,49
INJURIES,Dealing with bad knee,bad knee
CONSENT,Nah,no
EQUIPMENT,I have access to full gym,full gym
EQUIPMENT,home gym,home gym
GREETING,Yes I am,yes
LEVEL,Just a novice,novice
GREETING,Yes,yes
INJURIES,I have a lower back pain,lower back pain
CONFIRMATION,Wait,no
HEIGHT,155,155
LEVEL,I'd say advanced,advanced
HEIGHT,173 cm,173
GOAL,Looking to tone up,tone up
GOAL,My goal is to endurance,endurance
INJURIES,None,none
EQUIPMENT,dumbbells,dumbbells
AGE,30,30
GOAL,Mainly to lose weight,lose weight
GOAL,My goal is to get shredded,get shredded
ALLERGIES,I am shellfish,shellfish
INJURIES,Dealing with bad knee,bad knee
CONSENT,I consent,yes
EQUIPMENT,I have access to dumbbells,dumbbells
INJURIES,I have a shoulder impingement,shoulder impingement
ALLERGIES,I am lactose intolerant,lactose intolerant
EQUIPMENT,I only have full gym,full gym
INJURIES,bad knee,bad knee
DAYS,I can do 2 days a week,2
HEIGHT,177,177
CONFIRMATION,Yes,yes
ALLERGIES,gluten,gluten
EQUIPMENT,full gym,full gym
WEIGHT,129,129
HEIGHT,167,167
ALLERGIES,I am shellfish,shellfish
INJURIES,lower back pain,lower back pain
AGE,I am 50 years old,50
AGE,I am 29 years old,29
LEVEL,I am a beginner,beginner
WEIGHT,I weigh 169 lbs,169
DAYS,About 6 days,6
GOAL,Mainly to build muscle,build muscle
DAYS,2,2
EQUIPMENT,resistance bands,resistance bands
CONSENT,Nope,no
CONFIRMATION,I need to change something,no
DAYS,About 5 days,5
EQUIPMENT,I workout at a bodyweight,bodyweight
WEIGHT,About 268,268
